icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid,ctf_low,ctf_high,ctp_low,ctp_high,blmult
,,,190425_180135_083_j01,,,19.32,-68.48,0,green,190425_180135_083_j01,13,0,879,196,1.1
,,,190425_180135_084_j01,,,19.41,-67.88,0,green,190425_180135_084_j01,0,2,967,450,1.1
,,,190425_180135_085_j01,,,19.51,-67.23,0,green,190425_180135_085_j01,0,0,967,96,1.1
,,,190425_180135_086_j01,,,19.61,-66.51,0,green,190425_180135_086_j01,2,1,810,431,1.11
,,,190425_180135_087_j01,,,19.72,-65.71,0,green,190425_180135_087_j01,3,2,860,353,1.11
,,,190425_180135_088_j01,,,19.84,-64.8,0,green,190425_180135_088_j01,6,3,668,343,1.12
,,,190425_180135_089_j01,,,19.97,-63.73,0,green,190425_180135_089_j01,22,0,756,407,1.12
,,,190425_180135_090_j01,,,20.11,-62.45,0,green,190425_180135_090_j01,20,0,762,435,1.12
,,,190425_180135_091_j01,,,17.28,-81.76,0,green,190425_180135_091_j01,6,2,740,505,1.0
,,,190425_180135_092_j01,,,17.54,-80.53,0,green,190425_180135_092_j01,21,4,956,495,1.01
,,,190425_180135_093_j01,,,17.76,-79.5,0,green,190425_180135_093_j01,7,3,873,312,1.01
,,,190425_180135_094_j01,,,17.94,-78.62,0,green,190425_180135_094_j01,0,3,964,332,1.02
,,,190425_180135_095_j01,,,18.1,-77.84,241,green,190425_180135_095_j01,1,51,761,643,1.03
,,,190425_180135_096_j01,,,18.24,-77.14,323,yellow,190425_180135_096_j01,7,49,815,622,0.69
,,,190425_180135_097_j01,,,18.37,-76.5,44,green,190425_180135_097_j01,24,12,781,515,0.87
,,,190425_180135_098_j01,,,18.48,-75.91,0,green,190425_180135_098_j01,0,0,815,325,1.04
,,,190425_180135_099_j01,,,18.59,-75.36,0,green,190425_180135_099_j01,0,1,866,442,1.04
,,,190425_180135_100_j01,,,18.69,-74.84,0,green,190425_180135_100_j01,0,18,796,504,1.05
,,,190425_180135_101_j01,,,18.79,-74.34,28,yellow,190425_180135_101_j01,19,2,618,469,0.94
,,,190425_180135_102_j01,,,18.88,-73.86,0,yellow,190425_180135_102_j01,0,4,809,458,1.06
,,,190425_180135_103_j01,,,18.96,-73.4,8,green,190425_180135_103_j01,14,1,822,422,1.01
,,,190425_180135_104_j01,,,19.05,-72.94,21,green,190425_180135_104_j01,0,2,821,299,0.95
,,,190425_180135_105_j01,,,19.13,-72.49,387,green,190425_180135_105_j01,11,20,754,577,0.43
,,,190425_180135_106_j01,,,19.21,-72.04,479,green,190425_180135_106_j01,10,28,741,597,1.06
,,,190425_180135_107_j01,,,19.29,-71.59,582,green,190425_180135_107_j01,1,37,782,602,0.66
,,,190425_180135_108_j01,,,19.37,-71.13,592,green,190425_180135_108_j01,13,27,721,603,0.69
,,,190425_180135_109_j01,,,19.46,-70.66,331,green,190425_180135_109_j01,14,11,703,542,0.68
,,,190425_180135_110_j01,,,19.54,-70.18,174,green,190425_180135_110_j01,13,2,925,309,0.35
,,,190425_180135_111_j01,,,19.62,-69.67,2,green,190425_180135_111_j01,0,0,966,221,1.08
,,,190425_180135_112_j01,,,19.71,-69.14,0,green,190425_180135_112_j01,0,0,912,245,1.1
,,,190425_180135_113_j01,,,19.79,-68.58,0,green,190425_180135_113_j01,1,0,821,404,1.1
,,,190425_180135_114_j01,,,19.88,-67.98,0,green,190425_180135_114_j01,0,0,882,341,1.11
,,,190425_180135_115_j01,,,19.98,-67.33,0,green,190425_180135_115_j01,0,1,967,306,1.11
,,,190425_180135_116_j01,,,20.08,-66.61,0,green,190425_180135_116_j01,8,2,790,349,1.11
,,,190425_180135_117_j01,,,20.19,-65.81,0,green,190425_180135_117_j01,18,1,763,182,1.12
,,,190425_180135_118_j01,,,20.31,-64.89,0,green,190425_180135_118_j01,1,0,841,305,1.12
,,,190425_180135_119_j01,,,20.44,-63.82,0,green,190425_180135_119_j01,32,0,855,370,1.12
,,,190425_180135_120_j01,,,20.58,-62.53,0,green,190425_180135_120_j01,4,0,839,292,1.12
,,,190425_180207_001_j01,,,17.74,-81.9,0,green,190425_180207_001_j01,27,0,923,415,1.0
,,,190425_180207_002_j01,,,18.0,-80.66,0,yellow,190425_180207_002_j01,0,100,767,737,1.01
,,,190425_180207_003_j01,,,18.22,-79.63,0,green,190425_180207_003_j01,4,55,843,689,1.02
,,,190425_180207_004_j01,,,18.4,-78.75,0,green,190425_180207_004_j01,0,2,965,466,1.02
,,,190425_180207_005_j01,,,18.56,-77.96,77,green,190425_180207_005_j01,0,41,733,666,0.69
,,,190425_180207_006_j01,,,18.7,-77.26,0,green,190425_180207_006_j01,0,16,916,512,1.02
,,,190425_180207_007_j01,,,18.83,-76.62,0,green,190425_180207_007_j01,20,21,639,614,1.04
,,,190425_180207_008_j01,,,18.95,-76.03,0,green,190425_180207_008_j01,7,27,666,640,1.04
,,,190425_180207_009_j01,,,19.06,-75.48,0,yellow,190425_180207_009_j01,0,17,765,585,1.05
,,,190425_180207_010_j01,,,19.16,-74.96,0,green,190425_180207_010_j01,0,9,874,468,1.05
,,,190425_180207_011_j01,,,19.25,-74.46,0,green,190425_180207_011_j01,0,10,828,504,1.05
,,,190425_180207_012_j01,,,19.34,-73.98,0,green,190425_180207_012_j01,0,6,763,494,1.05
,,,190425_180207_013_j01,,,19.43,-73.51,0,green,190425_180207_013_j01,0,16,811,485,1.05
,,,190425_180207_014_j01,,,19.52,-73.06,58,green,190425_180207_014_j01,15,3,784,302,0.79
,,,190425_180207_015_j01,,,19.6,-72.6,396,green,190425_180207_015_j01,34,1,616,257,0.43
,,,190425_180207_016_j01,,,19.68,-72.15,153,green,190425_180207_016_j01,12,11,908,415,0.41
,,,190425_180207_017_j01,,,19.76,-71.7,20,green,190425_180207_017_j01,18,3,918,330,0.95
,,,190425_180207_018_j01,,,19.84,-71.24,82,green,190425_180207_018_j01,10,13,874,484,0.7
,,,190425_180207_019_j01,,,19.93,-70.77,42,green,190425_180207_019_j01,32,3,956,320,0.88
,,,190425_180207_020_j01,,,20.01,-70.28,0,green,190425_180207_020_j01,0,1,885,100,1.08
,,,190425_180207_021_j01,,,20.09,-69.78,0,green,190425_180207_021_j01,0,0,926,268,1.1
,,,190425_180207_022_j01,,,20.18,-69.25,0,green,190425_180207_022_j01,0,0,868,413,1.1
,,,190425_180207_023_j01,,,20.26,-68.69,0,green,190425_180207_023_j01,0,0,820,138,1.11
,,,190425_180207_024_j01,,,20.35,-68.08,0,green,190425_180207_024_j01,6,1,770,180,1.11
,,,190425_180207_025_j01,,,20.45,-67.43,0,green,190425_180207_025_j01,11,0,967,380,1.12
,,,190425_180207_026_j01,,,20.55,-66.71,0,green,190425_180207_026_j01,3,0,850,362,1.12
,,,190425_180207_027_j01,,,20.66,-65.9,0,green,190425_180207_027_j01,2,0,942,250,1.12
,,,190425_180207_028_j01,,,20.78,-64.98,0,green,190425_180207_028_j01,0,0,845,216,1.13
,,,190425_180207_029_j01,,,20.9,-63.91,0,green,190425_180207_029_j01,4,0,895,279,1.13
,,,190425_180207_030_j01,,,21.05,-62.61,0,green,190425_180207_030_j01,17,0,839,326,1.13
,,,190425_180207_031_j01,,,18.2,-82.04,0,green,190425_180207_031_j01,11,2,794,511,1.01
,,,190425_180207_032_j01,,,18.47,-80.8,0,green,190425_180207_032_j01,15,54,704,702,1.02
,,,190425_180207_033_j01,,,18.68,-79.77,0,green,190425_180207_033_j01,16,8,829,447,1.02
,,,190425_180207_034_j01,,,18.87,-78.88,0,green,190425_180207_034_j01,5,2,904,325,1.03
,,,190425_180207_035_j01,,,19.03,-78.09,0,green,190425_180207_035_j01,6,1,879,480,1.03
,,,190425_180207_036_j01,,,19.17,-77.39,0,green,190425_180207_036_j01,0,13,866,509,1.03
,,,190425_180207_037_j01,,,19.3,-76.75,0,green,190425_180207_037_j01,11,18,675,589,1.04
,,,190425_180207_038_j01,,,19.42,-76.16,0,green,190425_180207_038_j01,0,32,708,628,1.05
,,,190425_180207_039_j01,,,19.52,-75.6,0,yellow,190425_180207_039_j01,0,90,775,644,1.05
,,,190425_180207_040_j01,,,19.63,-75.08,0,green,190425_180207_040_j01,0,2,862,310,1.05
,,,190425_180207_041_j01,,,19.72,-74.58,0,green,190425_180207_041_j01,0,10,832,550,1.05
,,,190425_180207_042_j01,,,19.81,-74.1,0,green,190425_180207_042_j01,0,34,710,558,1.05
,,,190425_180207_043_j01,,,19.9,-73.63,10,green,190425_180207_043_j01,0,11,818,455,1.01
,,,190425_180207_044_j01,,,19.99,-73.17,66,green,190425_180207_044_j01,2,22,723,557,0.77
,,,190425_180207_045_j01,,,20.07,-72.72,30,green,190425_180207_045_j01,0,52,772,605,0.93
,,,190425_180207_046_j01,,,20.15,-72.27,0,green,190425_180207_046_j01,0,1,895,296,1.06
,,,190425_180207_047_j01,,,20.23,-71.81,0,green,190425_180207_047_j01,0,1,906,310,1.07
,,,190425_180207_048_j01,,,20.31,-71.35,0,green,190425_180207_048_j01,0,1,925,290,1.07
,,,190425_180207_049_j01,,,20.4,-70.88,0,green,190425_180207_049_j01,0,1,925,290,1.08
,,,190425_180207_050_j01,,,20.48,-70.39,0,green,190425_180207_050_j01,0,0,895,325,1.09
,,,190425_180207_051_j01,,,20.56,-69.89,0,green,190425_180207_051_j01,0,0,967,204,1.1
,,,190425_180207_052_j01,,,20.65,-69.35,0,green,190425_180207_052_j01,1,0,794,455,1.11
,,,190425_180207_053_j01,,,20.73,-68.79,0,green,190425_180207_053_j01,1,0,770,362,1.11
,,,190425_180207_054_j01,,,20.82,-68.19,0,green,190425_180207_054_j01,1,0,866,315,1.12
,,,190425_180207_055_j01,,,20.92,-67.53,0,green,190425_180207_055_j01,5,4,936,251,1.12
,,,190425_180207_056_j01,,,21.02,-66.8,0,green,190425_180207_056_j01,7,0,899,439,1.13
,,,190425_180207_057_j01,,,21.13,-65.99,0,green,190425_180207_057_j01,13,0,889,397,1.13
,,,190425_180207_058_j01,,,21.25,-65.07,0,green,190425_180207_058_j01,0,1,968,232,1.13
,,,190425_180207_059_j01,,,21.37,-64.0,0,green,190425_180207_059_j01,4,0,911,275,1.13
,,,190425_180207_060_j01,,,21.51,-62.7,0,green,190425_180207_060_j01,0,1,968,240,1.13
,,,190425_180207_061_j01,,,18.66,-82.18,0,green,190425_180207_061_j01,0,0,964,482,1.01
,,,190425_180207_062_j01,,,18.93,-80.94,0,green,190425_180207_062_j01,24,28,668,746,1.02
,,,190425_180207_063_j01,,,19.14,-79.9,0,green,190425_180207_063_j01,14,5,834,432,1.03
,,,190425_180207_064_j01,,,19.33,-79.01,0,green,190425_180207_064_j01,5,6,879,438,1.03
,,,190425_180207_065_j01,,,19.49,-78.22,0,green,190425_180207_065_j01,0,0,965,461,1.04
,,,190425_180207_066_j01,,,19.64,-77.52,6,green,190425_180207_066_j01,0,0,958,286,1.01
,,,190425_180207_067_j01,,,19.76,-76.88,73,green,190425_180207_067_j01,18,4,878,407,0.75
,,,190425_180207_068_j01,,,19.88,-76.28,148,green,190425_180207_068_j01,0,1,917,250,0.44
,,,190425_180207_069_j01,,,19.99,-75.73,139,yellow,190425_180207_069_j01,6,32,911,628,0.46
,,,190425_180207_070_j01,,,20.09,-75.2,154,green,190425_180207_070_j01,9,8,886,448,0.4
,,,190425_180207_071_j01,,,20.19,-74.7,318,green,190425_180207_071_j01,9,34,779,614,0.75
,,,190425_180207_072_j01,,,20.28,-74.22,73,green,190425_180207_072_j01,16,15,780,591,0.76
,,,190425_180207_073_j01,,,20.37,-73.75,0,green,190425_180207_073_j01,0,13,874,499,1.06
,,,190425_180207_074_j01,,,20.46,-73.29,0,green,190425_180207_074_j01,0,4,869,514,1.07
,,,190425_180207_075_j01,,,20.54,-72.83,0,green,190425_180207_075_j01,0,2,921,402,1.07
,,,190425_180207_076_j01,,,20.62,-72.38,0,green,190425_180207_076_j01,0,0,877,327,1.08
,,,190425_180207_077_j01,,,20.7,-71.92,0,green,190425_180207_077_j01,0,0,966,296,1.08
,,,190425_180207_078_j01,,,20.78,-71.46,0,green,190425_180207_078_j01,0,0,925,440,1.09
,,,190425_180207_079_j01,,,20.87,-70.99,0,green,190425_180207_079_j01,0,0,927,160,1.09
,,,190425_180207_080_j01,,,20.95,-70.5,0,green,190425_180207_080_j01,0,1,742,386,1.1
,,,190425_180207_081_j01,,,21.03,-69.99,0,green,190425_180207_081_j01,1,0,950,90,1.11
,,,190425_180207_082_j01,,,21.12,-69.46,0,green,190425_180207_082_j01,1,0,818,333,1.11
,,,190425_180207_083_j01,,,21.2,-68.89,0,green,190425_180207_083_j01,12,2,724,220,1.12
,,,190425_180207_084_j01,,,21.29,-68.29,0,green,190425_180207_084_j01,0,3,967,303,1.13
,,,190425_180207_085_j01,,,21.39,-67.63,0,green,190425_180207_085_j01,3,16,873,275,1.13
,,,190425_180207_086_j01,,,21.49,-66.9,0,green,190425_180207_086_j01,0,12,630,245,1.13
,,,190425_180207_087_j01,,,21.6,-66.09,0,green,190425_180207_087_j01,1,12,836,257,1.14
,,,190425_180207_088_j01,,,21.71,-65.16,0,green,190425_180207_088_j01,9,2,932,178,1.14
,,,190425_180207_089_j01,,,21.84,-64.08,0,green,190425_180207_089_j01,4,2,912,256,1.14
,,,190425_180207_090_j01,,,21.98,-62.78,0,green,190425_180207_090_j01,0,0,968,284,1.13
,,,190425_180207_091_j01,,,19.11,-82.32,0,green,190425_180207_091_j01,26,0,827,441,1.02
,,,190425_180207_092_j01,,,19.39,-81.07,0,green,190425_180207_092_j01,3,25,815,622,1.02
,,,190425_180207_093_j01,,,19.61,-80.04,0,green,190425_180207_093_j01,1,0,964,250,1.03
,,,190425_180207_094_j01,,,19.79,-79.14,0,green,190425_180207_094_j01,16,2,859,524,1.04
,,,190425_180207_095_j01,,,19.96,-78.36,0,green,190425_180207_095_j01,0,53,824,628,1.04
,,,190425_180207_096_j01,,,20.1,-77.65,25,green,190425_180207_096_j01,13,22,693,586,0.92
